x,Si,GaAs,InGAAs,Germanium
461.43,0.26634,,,
522.77,0.50962,,,
529.94,,0.2329,,
619.65,0.79488,,,
643.86,,0.61252,,
695.09,0.92707,,,
723.78,,0.82229,,
743.1,0.96697,,,
743.59,,,,0.58332
770.14,0.96491,,,
778.29,,0.92509,,
803.31,0.93771,,,
824.2,,0.95871,,
853.13,,0.91263,,
856.57,,0.74073,,
867.33,0.8267,,,
874.29,,0.49966,,
889.9,,0.25021,,
907.91,,0.08043,,
910.96,,,0.31313,
935,0.5899,,,
987.51,,,0.71157,
990.1,0.33422,,,
1018.73,0.21686,,,
1040.19,,,0.87517,
1047.5,0.13095,,,
1050.39,,,,0.82487
1065.33,,,0.91714,
1079.56,,,,0.8375
1117.48,,,0.95076,
1154.59,,,,0.87115
1194.46,,,0.95507,
1260.81,,,,0.90276
1331.81,,,0.96785,
1421.18,,,,0.94702
1485.71,,,,0.9576
1504.35,,,,0.93876
1512.5,,,,0.89684
1522.48,,,,0.79623
1530.05,,,,0.61595
1554.63,,,,0.52374
1566.88,,,0.9682,
1593.61,,,,0.39172
1622.44,,,,0.32259
1641.67,,,0.94526,
1659.69,,,,0.27442
1672.71,,,0.90547,
1693.07,,,0.79858,
1714.93,,,0.55333,
1728.27,,,0.25985,
